load_id,equipment,weight,distance,posted_rate,date,absolute_weight
TR-023101,Dry Van,-38564.0,495.2,1169.22,2025-05-26,38564.0
TR-023250,Flatbed,-39621.0,641.2,1580.4,2025-05-27,39621.0
TR-023382,Flatbed,-25307.0,1080.5,2407.77,2025-05-28,25307.0
TR-023384,Flatbed,-30409.0,1048.9,2488.07,2025-05-28,30409.0
TR-023426,Flatbed,-41712.0,2112.9,4735.87,2025-05-28,41712.0
TR-023604,Dry Van,-36388.0,1146.0,2493.11,2025-05-29,36388.0
TR-023757,Dry Van,-35374.0,641.3,1448.15,2025-05-30,35374.0
TR-023889,Dry Van,-42931.0,844.2,1940.52,2025-05-31,42931.0
TR-024039,Dry Van,-19170.0,2979.5,5296.08,2025-06-01,19170.0
TR-024193,Dry Van,-38593.0,468.8,1069.81,2025-06-01,38593.0
TR-024392,Dry Van,-25630.0,1149.6,2433.43,2025-06-03,25630.0
TR-024643,Dry Van,-36687.0,1078.8,2254.79,2025-06-04,36687.0
TR-024985,Dry Van,-21836.0,204.8,561.96,2025-06-06,21836.0
TR-025020,Dry Van,-19644.0,767.2,1608.14,2025-06-07,19644.0
TR-025359,Dry Van,-25447.0,503.3,1194.13,2025-06-09,25447.0
TR-025434,Dry Van,-31544.0,1282.7,2682.75,2025-06-09,31544.0
TR-025489,Flatbed,-29271.0,1204.4,2666.88,2025-06-10,29271.0
TR-025490,Dry Van,-37273.0,337.4,799.09,2025-06-10,37273.0
TR-025612,Dry Van,-28873.0,1854.0,3718.9,2025-06-10,28873.0
TR-025759,Flatbed,-28169.0,332.5,931.46,2025-06-11,28169.0
TR-026027,Dry Van,-47500.0,934.9,2107.18,2025-06-13,47500.0
TR-026107,Dry Van,-47500.0,1452.6,3087.43,2025-06-14,47500.0
TR-026411,Dry Van,-25445.0,623.0,1294.37,2025-06-16,25445.0
TR-026442,Dry Van,-23092.0,186.3,477.7,2025-06-16,23092.0
TR-026499,Reefer,-35131.0,528.0,1303.39,2025-06-16,35131.0
TR-027002,Dry Van,-19508.0,1163.5,2428.78,2025-06-19,19508.0
TR-027034,Flatbed,-23683.0,2566.4,5498.89,2025-06-19,23683.0
TR-027507,Dry Van,-28366.0,827.6,1763.56,2025-06-22,28366.0
TR-027525,Dry Van,-31558.0,1301.7,2640.79,2025-06-22,31558.0
TR-027667,Reefer,-38757.0,1189.1,2926.59,2025-06-23,38757.0
TR-027752,Dry Van,-23892.0,225.6,579.66,2025-06-24,23892.0
TR-027922,Flatbed,-38386.0,561.9,1540.07,2025-06-25,38386.0
TR-027945,Dry Van,-29838.0,773.3,1772.02,2025-06-25,29838.0
TR-028025,Reefer,-30260.0,654.1,1647.43,2025-06-25,30260.0
TR-028187,Dry Van,-21866.0,907.2,1862.85,2025-06-26,21866.0
TR-028222,Reefer,-44426.0,2164.9,5095.24,2025-06-27,44426.0
TR-028441,Reefer,-21586.0,1373.7,3186.06,2025-06-28,21586.0
TR-028491,Dry Van,-36574.0,1672.0,3517.57,2025-06-28,36574.0
TR-028878,Reefer,-47500.0,518.5,1328.65,2025-07-01,47500.0
TR-029036,Flatbed,-44300.0,1169.0,2570.02,2025-07-02,44300.0
TR-029121,Dry Van,-12836.0,397.1,945.76,2025-07-03,12836.0
TR-029359,Reefer,-34978.0,1971.6,4325.3,2025-07-04,34978.0
TR-029417,Dry Van,-33033.0,221.9,564.78,2025-07-04,33033.0
TR-029488,Flatbed,-34904.0,1516.8,3257.36,2025-07-05,34904.0
TR-029876,Dry Van,-33098.0,803.7,1759.78,2025-07-07,33098.0
TR-029899,Dry Van,-27024.0,338.3,762.97,2025-07-07,27024.0
TR-030076,Dry Van,-19105.0,2777.0,4797.89,2025-07-08,19105.0
TR-030386,Dry Van,-25580.0,303.4,736.1,2025-07-10,25580.0
TR-030516,Dry Van,-35457.0,256.8,648.69,2025-07-11,35457.0
TR-030686,Dry Van,-44754.0,2144.9,4186.0,2025-07-12,44754.0
TR-030916,Dry Van,-22027.0,2003.4,3775.64,2025-07-13,22027.0
TR-030940,Dry Van,-26457.0,482.9,1052.89,2025-07-14,26457.0
TR-031051,Flatbed,-36273.0,236.9,646.7,2025-07-14,36273.0
TR-031459,Dry Van,-15977.0,608.2,1306.37,2025-07-17,15977.0
TR-032169,Flatbed,-31390.0,128.8,379.37,2025-07-22,31390.0
TR-032597,Reefer,-35533.0,1715.2,3883.12,2025-07-24,35533.0
TR-032638,Flatbed,-27591.0,1597.4,3347.59,2025-07-25,27591.0
TR-032858,Dry Van,-22972.0,2286.0,3998.84,2025-07-26,22972.0
TR-032952,Dry Van,-36359.0,768.1,1572.85,2025-07-27,36359.0
TR-033532,Reefer,-32720.0,1147.2,2597.84,2025-07-30,32720.0
TR-033814,Dry Van,-40881.0,888.1,1907.25,2025-08-01,40881.0
TR-034283,Dry Van,-47500.0,1241.0,2485.16,2025-08-04,47500.0
TR-034876,Flatbed,-24191.0,258.6,683.22,2025-08-08,24191.0
TR-035712,Flatbed,-33705.0,1855.9,3932.57,2025-08-14,33705.0
TR-035770,Reefer,-28521.0,269.6,754.24,2025-08-14,28521.0
TR-035946,Reefer,-23199.0,530.3,1323.9,2025-08-15,23199.0
TR-036000,Flatbed,-40080.0,1186.7,2725.03,2025-08-15,40080.0
TR-036458,Reefer,-23331.0,1223.8,2763.16,2025-08-18,23331.0
TR-036594,Dry Van,-26362.0,1324.8,2571.46,2025-08-19,26362.0
TR-036596,Dry Van,-16901.0,2978.9,5055.89,2025-08-19,16901.0
TR-036769,Flatbed,-33494.0,252.0,660.26,2025-08-20,33494.0
TR-037285,Dry Van,-31453.0,646.4,1306.66,2025-08-24,31453.0
TR-037387,Reefer,-31268.0,360.5,928.46,2025-08-24,31268.0
TR-037406,Flatbed,-30378.0,2818.5,5126.65,2025-08-25,30378.0
TR-037610,Dry Van,-26020.0,1173.5,2247.78,2025-08-26,26020.0
TR-038525,Dry Van,-30839.0,1283.6,2493.1,2025-09-01,30839.0
TR-038806,Reefer,-39242.0,1878.9,4243.19,2025-09-03,39242.0
TR-039042,Dry Van,-32397.0,896.6,1993.26,2025-09-04,32397.0
TR-039082,Dry Van,-20180.0,1134.0,2227.63,2025-09-04,20180.0
TR-039098,Reefer,-24397.0,802.7,1898.24,2025-09-05,24397.0
TR-039126,Dry Van,-31560.0,2077.8,3915.16,2025-09-05,31560.0
TR-039229,Flatbed,-38535.0,2385.7,4859.34,2025-09-05,38535.0
TR-039349,Flatbed,-23983.0,272.3,669.86,2025-09-06,23983.0
TR-039514,Flatbed,-33699.0,593.2,3509.58,2025-09-07,33699.0
TR-039920,Dry Van,-30943.0,859.5,1834.95,2025-09-10,30943.0
TR-040272,Reefer,-31212.0,532.0,1328.03,2025-09-12,31212.0
TR-040493,Reefer,-24471.0,1180.9,2520.81,2025-09-13,24471.0
TR-040555,Dry Van,-45221.0,1644.8,3184.99,2025-09-14,45221.0
TR-040782,Flatbed,-25982.0,742.5,1644.06,2025-09-15,25982.0
TR-040900,Reefer,-19750.0,2941.1,5703.47,2025-09-16,19750.0
TR-040958,Dry Van,-38068.0,1253.8,2442.86,2025-09-16,38068.0
TR-041107,Dry Van,-31935.0,155.9,414.0,2025-09-17,31935.0
TR-041157,Flatbed,-27674.0,909.0,2032.48,2025-09-18,27674.0
TR-041185,Dry Van,-38340.0,2787.3,5298.62,2025-09-18,38340.0
TR-041292,Dry Van,-24867.0,346.5,836.28,2025-09-18,24867.0
TR-041473,Reefer,-44395.0,280.6,817.29,2025-09-20,44395.0
TR-041638,Dry Van,-21194.0,1957.1,3480.52,2025-09-21,21194.0
TR-041822,Reefer,-29209.0,554.8,1378.44,2025-09-22,29209.0
TR-041894,Reefer,-25616.0,1698.8,3656.53,2025-09-22,25616.0
TR-041995,Dry Van,-24646.0,167.9,435.27,2025-09-23,24646.0
TR-042186,Dry Van,-25804.0,3161.7,5692.34,2025-09-24,25804.0
TR-043407,Reefer,-34903.0,2499.4,5196.65,2025-10-02,34903.0
TR-043459,Reefer,-34863.0,645.9,1530.92,2025-10-02,34863.0
TR-043598,Dry Van,-35282.0,1129.1,2373.1,2025-10-03,35282.0
TR-043752,Flatbed,-24412.0,166.0,475.85,2025-10-04,24412.0
TR-043818,Reefer,-32569.0,314.3,868.53,2025-10-05,32569.0
TR-043824,Flatbed,-39325.0,225.0,646.74,2025-10-05,39325.0
TR-043941,Reefer,-27654.0,2201.7,4468.77,2025-10-06,27654.0
TR-044041,Dry Van,-41272.0,893.1,1856.42,2025-10-06,41272.0
TR-044065,Flatbed,-19060.0,360.7,882.45,2025-10-06,19060.0
TR-044271,Reefer,-21645.0,652.1,313.15,2025-10-08,21645.0
TR-044379,Dry Van,-26959.0,86.8,257.52,2025-10-08,26959.0
TR-044382,Dry Van,-20894.0,1047.3,1996.66,2025-10-08,20894.0
TR-044441,Reefer,-26628.0,662.6,1585.9,2025-10-09,26628.0
TR-044701,Dry Van,-23606.0,877.8,1747.88,2025-10-10,23606.0
TR-044850,Dry Van,-39085.0,1994.0,4011.46,2025-10-11,39085.0
TR-045142,Dry Van,-39628.0,395.0,949.32,2025-10-13,39628.0
TR-045410,Reefer,-28773.0,411.2,1089.43,2025-10-15,28773.0
TR-045631,Flatbed,-22295.0,745.3,1698.24,2025-10-16,22295.0
TR-045913,Dry Van,-38106.0,959.8,2001.86,2025-10-18,38106.0
TR-045981,Dry Van,-26959.0,1860.0,3447.98,2025-10-18,26959.0
TR-046127,Flatbed,-23865.0,1065.5,2282.79,2025-10-19,23865.0
TR-046198,Reefer,-27695.0,621.8,1529.35,2025-10-20,27695.0
TR-046485,Reefer,-36959.0,1257.8,2760.03,2025-10-22,36959.0
TR-046506,Reefer,-26380.0,2460.4,4995.47,2025-10-22,26380.0
TR-046511,Dry Van,-41218.0,305.9,780.71,2025-10-22,41218.0
TR-046929,Flatbed,-32790.0,832.9,1934.56,2025-10-25,32790.0
TR-046945,Dry Van,-25999.0,2179.5,4059.09,2025-10-25,25999.0
TR-046965,Flatbed,-26533.0,356.6,876.75,2025-10-25,26533.0
TR-047405,Dry Van,-24142.0,468.7,1077.64,2025-10-28,24142.0
TR-047432,Flatbed,-35617.0,1978.6,4295.45,2025-10-28,35617.0
TR-047736,Reefer,-43951.0,1689.1,3933.12,2025-10-30,43951.0
TR-047851,Dry Van,-28144.0,538.3,1191.61,2025-10-31,28144.0
TR-047869,Flatbed,-36262.0,835.6,1892.15,2025-10-31,36262.0
