load_id,distance,posted_rate,rate_per_mile,posted_rate_iqr_flag,rate_per_mile_iqr_flag
TR-000121,1511.9,2863.32,1.8938554137178385,False,False
TR-000122,552.3,1156.13,2.093300742350172,False,False
TR-000123,460.8,1093.37,2.372764756944444,False,False
TR-000124,2564.4,4397.38,1.71477928560287,False,False
TR-000125,2252.6,4397.69,1.9522729290597531,False,False
TR-000126,2835.2,4811.93,1.6972100733634314,False,False
TR-000127,1206.8,2519.12,2.0874378521710306,False,False
TR-000128,1079.3,2017.91,1.8696469934216624,False,False
TR-000129,2809.6,4980.36,1.772622437357631,False,False
TR-000130,1571.7,2899.99,1.845129477635681,False,False
TR-000131,1830.0,3676.73,2.0091420765027324,False,False
TR-000132,2251.7,3982.15,1.7685082382200117,False,False
TR-000133,483.5,1036.79,2.144343329886246,False,False
TR-000134,584.1,1243.16,2.1283341893511385,False,False
TR-000135,485.0,936.02,1.9299381443298969,False,False
TR-000136,1397.4,2523.62,1.8059396021182192,False,False
TR-000137,1665.7,3022.64,1.8146364891637148,False,False
TR-000138,1218.8,2670.36,2.1909747292418773,False,False
TR-000139,1233.6,2239.61,1.8155074578469523,False,False
TR-000140,988.9,2008.09,2.030629992921428,False,False
TR-000141,897.3,1992.97,2.221074334113452,False,False
TR-000142,269.9,650.01,2.4083364208966285,False,False
TR-000143,2021.2,3948.54,1.9535622402533148,False,False
TR-000144,1468.2,2830.86,1.9281160604822232,False,False
TR-000145,330.7,759.7,2.2972482612639857,False,False
TR-000146,2147.1,4249.43,1.9791486190675798,False,False
TR-000147,858.7,1631.14,1.89954582508443,False,False
TR-000148,1344.8,2489.37,1.851107971445568,False,False
TR-000149,230.1,540.61,2.349456757931334,False,False
TR-000150,143.7,375.65,2.6141266527487823,False,False
TR-000151,518.0,1122.09,2.166196911196911,False,False
TR-000152,889.1,1831.73,2.060206950849173,False,False
TR-000153,1091.1,2160.43,1.9800476583264595,False,False
TR-000154,321.0,796.52,2.4813707165109036,False,False
TR-000155,801.4,1568.58,1.9572997254804092,False,False
TR-000156,1644.7,3626.94,2.2052289171277435,False,False
TR-000157,440.5,1110.96,2.522043132803632,False,False
TR-000158,465.3,1084.95,2.3317214700193425,False,False
TR-000159,2093.2,4281.56,2.0454614943626988,False,False
TR-000160,454.9,1049.01,2.306023301824577,False,False
TR-000161,347.1,864.12,2.4895419187554015,False,False
TR-000162,1058.8,2176.18,2.0553267850396675,False,False
TR-000163,2109.2,3974.6,1.8844111511473545,False,False
TR-000164,514.7,1101.34,2.1397707402370307,False,False
TR-000165,492.5,1019.74,2.07053807106599,False,False
TR-000166,813.0,1619.25,1.9916974169741697,False,False
TR-000167,509.8,1099.68,2.157081208316987,False,False
TR-000168,1041.8,1838.14,1.7643885582645422,False,False
TR-000169,151.9,414.27,2.7272547728768926,False,False
TR-000170,2132.0,4085.74,1.916388367729831,False,False
TR-000171,578.9,1163.92,2.010571774054241,False,False
TR-000172,292.8,732.99,2.5033811475409835,False,False
TR-000173,1008.1,1842.16,1.8273583969844263,False,False
TR-000174,1462.3,2829.37,1.9348765643164878,False,False
TR-000175,986.9,2022.95,2.049802411591853,False,False
TR-000176,3109.8,6180.45,1.9874107659656568,False,False
TR-000177,1610.2,3020.5,1.8758539311886722,False,False
TR-000178,1555.6,2796.9,1.7979557726922089,False,False
TR-000179,642.9,1334.44,2.0756571784103284,False,False
TR-000180,520.7,1071.27,2.057365085461878,False,False
TR-000181,1018.4,1929.85,1.8949823252160252,False,False
TR-000182,1948.5,3949.71,2.0270515781370286,False,False
TR-000183,1247.1,2391.86,1.9179376152674206,False,False
TR-000184,2602.9,4563.85,1.7533712397710246,False,False
TR-000185,70.0,184.55,2.6364285714285716,False,False
TR-000186,2769.0,4773.15,1.7237811484290355,False,False
TR-000187,1849.3,3665.54,1.9821229654463852,False,False
TR-000188,2313.5,4117.48,1.7797622649665008,False,False
TR-000189,1449.7,2737.41,1.8882596399255016,False,False
TR-000190,1579.7,3439.65,2.1774071026144206,False,False
TR-000191,919.8,704.89,0.7663513807349424,False,True
TR-000192,1954.3,3930.73,2.0113237476334236,False,False
TR-000193,457.9,1020.9,2.2295260974011795,False,False
TR-000194,948.4,1803.38,1.9014972585407004,False,False
TR-000195,948.0,1847.23,1.948554852320675,False,False
TR-000196,1020.2,2122.76,2.0807292687708294,False,False
TR-000197,716.6,1627.63,2.2713229137594197,False,False
TR-000198,1591.2,2971.74,1.8676093514328806,False,False
TR-000199,3186.6,5650.16,1.7730998556455155,False,False
TR-000200,135.0,399.56,2.9597037037037035,False,True
TR-000201,810.1,1545.85,1.908221207258363,False,False
TR-000202,2184.2,4309.3,1.9729420382748835,False,False
TR-000203,781.2,1712.03,2.1915386584741423,False,False
TR-000204,657.4,1309.59,1.9920748402798905,False,False
TR-000205,496.2,1046.92,2.1098750503829105,False,False
TR-000206,2172.9,3989.11,1.8358461042845966,False,False
TR-000207,411.3,959.15,2.3319961098954534,False,False
TR-000208,671.5,1406.75,2.0949367088607596,False,False
TR-000209,1267.9,2543.92,2.006404290559192,False,False
TR-000210,634.6,1402.7,2.210368736211787,False,False
TR-000211,1402.7,2641.89,1.8834319526627217,False,False
TR-000212,1293.3,2452.79,1.8965359931957009,False,False
TR-000213,731.9,1517.1,2.072824156305506,False,False
TR-000214,925.9,1820.54,1.9662382546711308,False,False
TR-000215,506.8,1224.13,2.415410418310971,False,False
TR-000216,300.9,761.73,2.5315054835493522,False,False
TR-000217,877.3,1752.33,1.997412515673088,False,False
TR-000218,904.7,1737.6,1.9206366751409305,False,False
TR-000219,1318.6,2549.86,1.933763082056727,False,False
TR-000220,407.7,967.53,2.373142016188374,False,False
TR-000221,3034.8,5251.53,1.730436931593515,False,False
TR-000222,1964.0,3705.22,1.8865682281059062,False,False
TR-000223,2251.1,4314.83,1.9167651370441119,False,False
TR-000224,946.2,1931.43,2.041249207355739,False,False
TR-000225,301.4,711.76,2.3615129396151295,False,False
TR-000226,1317.4,2836.0,2.152725064521026,False,False
TR-000227,1342.7,2743.13,2.042995456915171,False,False
TR-000228,1353.1,2555.61,1.8887074126080854,False,False
TR-000229,1088.2,2299.46,2.1130858298106965,False,False
TR-000230,730.8,1468.55,2.0095101258894363,False,False
TR-000231,1532.1,2714.21,1.771561908491613,False,False
TR-000232,2982.6,5180.03,1.73674981559713,False,False
TR-000233,2013.7,3883.14,1.9283607290063067,False,False
TR-000234,1253.8,2269.79,1.8103286010527995,False,False
TR-000235,1322.5,2464.93,1.8638412098298676,False,False
TR-000236,778.9,1533.32,1.9685710617537553,False,False
TR-000237,443.9,1094.99,2.46674926785312,False,False
TR-000238,591.6,1252.03,2.116345503718729,False,False
TR-000239,882.2,1707.91,1.9359669009294944,False,False
TR-000240,613.1,1231.27,2.008269450334366,False,False
TR-000241,839.7,1654.43,1.9702631892342504,False,False
TR-000242,2235.0,3856.99,1.7257225950782997,False,False
TR-000243,594.0,1315.87,2.2152693602693603,False,False
TR-000244,1568.5,3091.7,1.971118903410902,False,False
TR-000245,256.5,620.43,2.4188304093567248,False,False
TR-000246,800.4,1464.99,1.8303223388305847,False,False
TR-000247,1454.2,2930.01,2.0148604043460323,False,False
TR-000248,258.9,654.81,2.5292004634994205,False,False
TR-000249,2454.9,4340.48,1.768088313169579,False,False
TR-000250,998.9,2159.23,2.1616077685454,False,False
TR-000251,277.6,609.35,2.195064841498559,False,False
TR-000252,1386.5,2649.11,1.9106455102776776,False,False
TR-000253,2113.6,3655.08,1.729314912944739,False,False
TR-000254,336.0,755.69,2.249077380952381,False,False
TR-000255,110.2,293.49,2.6632486388384757,False,False
TR-000256,976.5,1934.19,1.9807373271889401,False,False
TR-000257,748.5,1714.56,2.2906613226452905,False,False
TR-000258,1016.8,2129.75,2.094561369000787,False,False
TR-000259,1140.1,2533.42,2.222103324269801,False,False
TR-000260,899.4,1778.09,1.9769735379141649,False,False
TR-000261,941.2,2115.57,2.2477369315767106,False,False
TR-000262,1934.8,3701.0,1.9128592102542898,False,False
TR-000263,1985.1,3645.7,1.8365321646264672,False,False
TR-000264,2322.2,3850.86,1.658280940487469,False,False
TR-000265,785.5,1488.1,1.8944621260343728,False,False
TR-000266,1225.6,2609.56,2.129210182767624,False,False
TR-000267,2832.2,4938.29,1.7436233316856156,False,False
TR-000268,554.5,1217.61,2.1958701532912532,False,False
TR-000269,1106.5,2081.89,1.8815092634432895,False,False
TR-000270,2105.1,3650.7,1.7342169018098903,False,False
TR-000271,794.7,1585.63,1.9952560714735121,False,False
TR-000272,2401.1,4201.05,1.7496355836908086,False,False
TR-000273,332.5,750.82,2.258105263157895,False,False
TR-000274,436.6,882.48,2.0212551534585432,False,False
TR-000275,500.3,1156.87,2.3123525884469314,False,False
TR-000276,169.0,475.54,2.813846153846154,False,False
TR-000277,2534.6,4574.59,1.8048567821352484,False,False
TR-000278,1921.8,4123.17,2.1454729940680615,False,False
TR-000279,556.5,1232.09,2.213998203054807,False,False
TR-000280,2781.6,5532.54,1.9889775668679897,False,False
TR-000281,1717.4,3222.02,1.876103412134622,False,False
TR-000282,447.1,926.85,2.073026168642362,False,False
TR-000283,143.9,330.73,2.298332175121612,False,False
TR-000284,768.2,1556.78,2.026529549596459,False,False
TR-000285,377.4,819.64,2.171807101218866,False,False
TR-000286,560.9,1349.47,2.405901230165805,False,False
TR-000287,1978.2,3617.63,1.8287483570923062,False,False
TR-000288,333.8,832.13,2.4928999400838823,False,False
TR-000289,1584.5,2817.23,1.7779930577469234,False,False
TR-000290,671.5,1477.68,2.200565897244974,False,False
TR-000291,288.5,628.1,2.1771230502599654,False,False
TR-000292,1372.5,2738.34,1.9951475409836066,False,False
TR-000293,220.2,505.87,2.297320617620345,False,False
TR-000294,1074.8,2074.46,1.9300893189430592,False,False
TR-000295,685.6,518.31,0.7559947491248541,False,True
TR-000296,704.4,1468.94,2.0853776263486656,False,False
TR-000297,1498.1,2696.74,1.8001068019491355,False,False
TR-000298,1028.5,1923.56,1.8702576567817208,False,False
TR-000299,663.0,1455.51,2.195339366515837,False,False
TR-000300,471.3,956.05,2.0285380861447058,False,False
TR-000301,1102.3,2371.55,2.1514560464483354,False,False
TR-000302,2402.1,4632.49,1.9285167145414428,False,False
TR-000303,749.9,1761.52,2.3490065342045607,False,False
TR-000304,1656.1,3377.76,2.0395869814624725,False,False
TR-000305,2508.5,4749.77,1.8934702013155273,False,False
TR-000306,1638.4,3330.82,2.03297119140625,False,False
TR-000307,1029.5,1992.49,1.935395823215153,False,False
TR-000308,138.8,338.21,2.4366714697406335,False,False
TR-000309,1501.0,2712.93,1.807415056628914,False,False
TR-000310,1120.7,2151.58,1.9198536628892655,False,False
TR-000311,317.4,801.58,2.525456836798992,False,False
TR-000312,2935.7,5568.57,1.896845726743196,False,False
TR-000313,932.7,2145.57,2.3003859761981347,False,False
TR-000314,1097.0,2058.36,1.8763536918869645,False,False
TR-000315,611.1,1273.78,2.084405171003109,False,False
TR-000316,100.4,252.89,2.5188247011952187,False,False
TR-000317,2989.9,5239.69,1.7524632930867252,False,False
TR-000318,676.7,1645.63,2.4318457218856215,False,False
TR-000319,802.8,1522.12,1.8960139511709018,False,False
TR-000320,1341.1,2424.7,1.8079934382223548,False,False
TR-000321,286.7,720.1,2.511684687826997,False,False
TR-000322,1027.4,1855.34,1.8058594510414636,False,False
TR-000323,1782.7,3657.65,2.051747349526,False,False
TR-000324,2848.8,5430.07,1.906090283628194,False,False
TR-000325,621.1,1280.18,2.0611495733376266,False,False
TR-000326,943.2,1779.77,1.8869486853265478,False,False
TR-000327,2488.5,4773.36,1.9181675708257986,False,False
TR-000328,1859.3,3692.61,1.9860216210401764,False,False
TR-000329,2175.2,4419.99,2.031992460463406,False,False
TR-000330,532.3,1325.57,2.4902686455006577,False,False
TR-000331,937.9,1864.77,1.9882396844013221,False,False
TR-000332,1539.7,2859.51,1.857186464895759,False,False
TR-000333,2912.9,5056.87,1.7360259535171134,False,False
TR-000334,789.0,1514.7,1.9197718631178708,False,False
TR-000335,2223.8,3778.66,1.6991905746919684,False,False
TR-000336,1804.5,3189.56,1.767558880576337,False,False
TR-000337,543.5,1238.6,2.2789328426862925,False,False
TR-000338,514.5,1133.49,2.203090379008746,False,False
TR-000339,460.8,1115.71,2.421245659722222,False,False
TR-000340,731.7,1544.87,2.1113434467678007,False,False
TR-000341,416.2,908.32,2.1824123017779917,False,False
TR-000342,1253.8,2683.43,2.14023767746052,False,False
TR-000343,631.5,1249.02,1.9778622327790973,False,False
TR-000344,1142.6,2294.44,2.0080868195343955,False,False
TR-000345,2437.2,4677.38,1.9191613326768424,False,False
TR-000346,943.3,1949.77,2.0669670306371253,False,False
TR-000347,1354.9,2761.82,2.0383939774153075,False,False
TR-000348,260.5,606.27,2.3273320537428024,False,False
TR-000349,938.2,1729.04,1.8429332764868898,False,False
TR-000350,2931.4,5106.74,1.7420822815037182,False,False
TR-000351,436.5,1038.32,2.3787399770904925,False,False
TR-000352,2558.3,4284.13,1.6746003205253488,False,False
TR-000353,2043.0,3555.96,1.7405580029368575,False,False
TR-000354,183.0,471.47,2.576338797814208,False,False
TR-000355,569.8,1213.69,2.1300280800280804,False,False
TR-000356,1167.7,2272.55,1.9461762438982617,False,False
TR-000357,837.7,1984.19,2.368616449803032,False,False
TR-000358,704.2,1490.69,2.116856006816245,False,False
TR-000359,1548.1,2737.62,1.7683741360377236,False,False
TR-000360,1926.3,3611.44,1.874806624098012,False,False
TR-000361,873.2,1805.64,2.0678424186898763,False,False
TR-000362,2461.5,4378.25,1.7786918545602275,False,False
TR-000363,1027.1,2089.0,2.0338818031350407,False,False
TR-000364,892.9,1760.13,1.9712509799529625,False,False
TR-000365,543.6,1181.6,2.1736571008094185,False,False
TR-000366,287.5,734.3,2.554086956521739,False,False
TR-000367,1048.9,1868.24,1.7811421489179138,False,False
TR-000368,366.4,818.07,2.2327237991266378,False,False
TR-000369,3084.7,5190.52,1.6826660615294844,False,False
TR-000370,759.4,1499.6,1.974716881748749,False,False
TR-000371,2462.6,4853.35,1.9708235198570618,False,False
TR-000372,2743.1,4912.53,1.7908679960628486,False,False
TR-000373,606.8,1371.86,2.2608108108108107,False,False
TR-000374,782.1,1546.58,1.9774709116481266,False,False
TR-000375,135.0,325.41,2.410444444444445,False,False
TR-000376,1042.2,2162.46,2.074899251583189,False,False
TR-000377,1331.1,2522.54,1.8950792577567426,False,False
TR-000378,1889.1,3598.87,1.9050711979249377,False,False
TR-000379,129.8,317.57,2.446610169491525,False,False
TR-000380,1079.3,2095.22,1.941276753451311,False,False
TR-000381,1042.5,2226.18,2.1354244604316546,False,False
TR-000382,1936.7,3903.39,2.0154851035266175,False,False
TR-000383,1707.2,3155.17,1.8481548734770383,False,False
TR-000384,345.2,858.16,2.4859791425260718,False,False
TR-000385,1884.7,3315.95,1.7594046797898868,False,False
TR-000386,2731.1,4885.72,1.7889202152978654,False,False
TR-000387,1934.4,3882.21,2.006932382133995,False,False
TR-000388,969.2,1885.76,1.9456871646718943,False,False
TR-000389,823.0,5485.49,6.665236938031591,False,True
TR-000390,689.0,1459.42,2.1181712626995646,False,False
TR-000391,211.9,542.42,2.559792354884379,False,False
TR-000392,253.3,626.98,2.475246742992499,False,False
TR-000393,1687.3,3487.26,2.0667693948912467,False,False
TR-000394,1508.9,2803.28,1.8578302074358806,False,False
TR-000395,708.5,1407.82,1.9870430486944248,False,False
TR-000396,761.1,1647.18,2.1642096964919197,False,False
TR-000397,641.8,1412.07,2.2001713929573077,False,False
TR-000398,407.6,860.02,2.109960745829244,False,False
TR-000399,1918.5,3345.23,1.7436695334897054,False,False
TR-000400,294.3,742.5,2.5229357798165135,False,False
TR-000401,807.0,1497.32,1.8554151177199503,False,False
TR-000402,957.6,2163.09,2.2588659147869676,False,False
TR-000403,748.9,1479.33,1.9753371611697155,False,False
TR-000404,546.4,1119.66,2.049158125915081,False,False
TR-000405,875.1,1731.57,1.9787110044566334,False,False
TR-000406,303.2,639.38,2.1087730870712402,False,False
TR-000407,438.0,905.38,2.0670776255707763,False,False
TR-000408,2706.5,4866.25,1.7979863292074636,False,False
TR-000409,1028.1,2135.53,2.077161754693124,False,False
TR-000410,833.6,1800.59,2.1600167946257196,False,False
TR-000411,163.1,391.32,2.3992642550582466,False,False
TR-000412,717.5,1493.31,2.081268292682927,False,False
TR-000413,1869.2,3650.78,1.9531243312647122,False,False
TR-000414,1208.0,2665.39,2.2064486754966888,False,False
TR-000415,955.3,1862.47,1.9496179210719147,False,False
TR-000416,593.6,1324.48,2.2312668463611858,False,False
TR-000417,1787.8,3381.71,1.8915482716187493,False,False
TR-000418,1942.7,3465.11,1.7836567663561023,False,False
TR-000419,1345.1,2434.9,1.8101999851312172,False,False
TR-000420,1219.9,2493.96,2.04439708172801,False,False
TR-000421,823.4,1827.68,2.2196745202817585,False,False
TR-000422,620.7,1345.86,2.16829386176897,False,False
TR-000423,381.1,892.49,2.341878771975859,False,False
TR-000424,589.3,1273.13,2.160410656711353,False,False
TR-000425,1974.6,3635.74,1.8412539248455384,False,False
TR-000426,1140.8,2220.72,1.946633941093969,False,False
TR-000427,990.3,1900.21,1.9188225790164597,False,False
TR-000428,993.4,2140.67,2.1548922891081137,False,False
TR-000429,1031.7,1988.4,1.9273044489677231,False,False
TR-000430,437.3,939.41,2.1482048936656755,False,False
TR-000431,729.8,1431.73,1.9618114551932038,False,False
TR-000432,2903.5,5491.28,1.8912622696745307,False,False
TR-000433,2277.6,4701.94,2.064427467509659,False,False
TR-000434,1841.8,3239.99,1.7591432294494516,False,False
TR-000435,1150.5,2236.8,1.9441981747066495,False,False
TR-000436,1479.4,2759.73,1.8654386913613625,False,False
TR-000437,728.0,1421.04,1.9519780219780218,False,False
TR-000438,759.0,1533.28,2.0201317523056654,False,False
TR-000439,427.1,979.98,2.294497775696558,False,False
TR-000440,394.9,276.27,0.699594834135224,False,True
TR-000441,2462.5,4496.57,1.826018274111675,False,False
TR-000442,190.6,483.19,2.5350996852046173,False,False
TR-000443,1621.6,2897.2,1.786630488406512,False,False
TR-000444,577.4,1171.72,2.029303775545549,False,False
TR-000445,3010.4,6172.95,2.050541456284879,False,False
TR-000446,2546.5,4859.84,1.9084390339681916,False,False
TR-000447,2438.3,4841.57,1.9856334331296392,False,False
TR-000448,469.6,1004.8,2.1396933560477,False,False
TR-000449,840.9,1577.22,1.8756332500891901,False,False
TR-000450,2007.5,3894.29,1.9398704856787048,False,False
TR-000451,1758.6,3478.46,1.977971113385648,False,False
TR-000452,429.1,939.98,2.190584945234211,False,False
TR-000453,291.4,731.36,2.5098146877144822,False,False
TR-000454,899.9,1670.89,1.8567507500833427,False,False
TR-000455,2025.4,3570.72,1.7629702774760538,False,False
TR-000456,414.3,889.9,2.147960415158098,False,False
TR-000457,869.5,1852.81,2.1308913168487638,False,False
TR-000458,1485.8,2703.78,1.8197469376766726,False,False
TR-000459,2522.9,4467.53,1.7707915494074278,False,False
TR-000460,522.0,1147.04,2.197394636015326,False,False
TR-000461,479.1,1079.19,2.2525360050093926,False,False
TR-000462,1047.0,2454.16,2.343992359121299,False,False
TR-000463,1158.0,2422.19,2.091701208981002,False,False
TR-000464,1031.3,2377.23,2.3050809657713565,False,False
TR-000465,534.3,1084.19,2.029178364214861,False,False
TR-000466,2448.6,4167.3,1.701911296250919,False,False
TR-000467,2333.8,3902.99,1.6723755248950207,False,False
TR-000468,1357.3,2790.7,2.056067192219848,False,False
TR-000469,230.8,590.58,2.558838821490468,False,False
TR-000470,2154.3,10854.69,5.038615791672469,True,True
TR-000471,785.8,1583.13,2.0146729447696616,False,False
TR-000472,2055.8,3365.55,1.6370999124428445,False,False
TR-000473,1862.3,3644.66,1.957074585190356,False,False
TR-000474,477.2,1025.04,2.1480301760268232,False,False
TR-000475,1928.7,3630.6,1.882407839477368,False,False
TR-000476,1226.5,2355.64,1.920619649408887,False,False
TR-000477,406.5,1076.25,2.6476014760147604,False,False
TR-000478,1131.8,2061.7,1.8216115921540907,False,False
TR-000479,1401.1,2509.32,1.7909642423809866,False,False
TR-000480,2297.8,4581.3,1.9937766559317607,False,False
TR-000481,835.3,1697.73,2.032479348736981,False,False
TR-000482,286.8,739.97,2.5800906555090655,False,False
TR-000483,322.6,736.37,2.282610043397396,False,False
TR-000484,673.7,1292.77,1.91891049428529,False,False
TR-000485,883.5,1561.57,1.7674816072439161,False,False
TR-000486,1371.9,2674.66,1.9496027407245424,False,False
TR-000487,452.8,1156.07,2.5531581272084805,False,False
TR-000488,424.2,964.96,2.2747760490334747,False,False
TR-000489,686.4,1525.42,2.222348484848485,False,False
TR-000490,835.3,1726.66,2.067113611875973,False,False
TR-000491,2777.5,4501.47,1.6206912691269129,False,False
TR-000492,1089.7,2344.16,2.151197577314857,False,False
TR-000493,128.6,329.24,2.5601866251944014,False,False
TR-000494,168.4,431.36,2.561520190023753,False,False
TR-000495,2644.0,4767.15,1.8030068078668682,False,False
TR-000496,715.9,1473.78,2.0586394747869816,False,False
TR-000497,2940.5,5311.11,1.8061928243496004,False,False
